PID,Name,Priority,Burst Time,Arrival Time,Left Time
945921,(baloo,20,1822,0,1822
979646,(kwork,20,517,0,517
979712,(kwork,20,538,0,538
1479708,(kwork,20,949,0,949
1479709,(kwork,20,896,0,896
1505030,(kwork,20,722,0,722
1516480,(kwork,20,948,0,948
1516481,(kwork,20,593,0,593
1713635,(kdein,20,9,0,9
1713638,(klaun,20,1569,0,1569
1714966,(QtWeb,20,54,0,54
1714970,(QtWeb,20,54,0,54
1715024,(QtWeb,20,6,0,6
1729767,(konqu,20,3035,0,3035
1730574,(QtWeb,20,54,0,54
1730578,(QtWeb,20,54,0,54
1730628,(QtWeb,20,2,0,2
1730739,(QtWeb,20,32,0,32
1982434,(kwork,20,693,0,693
2208225,(ssh-a,20,0,0,0
2208547,(kwork,20,0,0,0
2208549,(kwork,20,365,0,365
2208587,(kwork,20,0,0,0
2208670,(kwork,20,0,0,0
2208677,(kwork,20,430,0,430
2208774,(kwork,20,0,0,0
2208837,(kwork,20,0,0,0
2563995,(flatp,20,180,0,180
2564008,(p11-k,20,0,0,0
2564015,(dbus-,20,81,0,81
2564029,(bwrap,20,1,0,1
2564032,(xdg-d,20,20,0,20
2564050,(bwrap,20,32,0,32
2564134,(spoti,20,5244,0,5244
2564324,(spoti,20,42,0,42
2564327,(spoti,20,51,0,51
2564582,(spoti,20,42,0,42
2564592,(spoti,20,43,0,43
2564642,(spoti,20,186091,0,186091
2564691,(spoti,20,28,0,28
2564751,(p11-k,20,186,0,186
2624870,(kio_h,20,9380,0,9380
2754402,(ssh-a,20,0,0,0
2772501,(kwork,20,762,0,762
2869855,(code),20,356,0,356
2869995,(code),20,397,0,397
2874336,(cppto,20,102,0,102
2893153,(konso,20,4137,0,4137
2893409,(bash),20,132,0,132
3016766,(bash),20,86,0,86
3045529,(cppto,20,38,0,38
3112454,(bash),20,433,0,433
3289124,(kwork,20,704,0,704
3289133,(kwork,20,1136,0,1136
3304648,(kwork,20,1047,0,1047
3448810,(brave,20,28,0,28
3450692,(kwork,20,228,0,228
3450700,(kwork,20,214,0,214
3450803,(kwork,20,0,0,0
3450936,(kwork,20,651,0,651
3452208,(kwork,20,0,0,0
3462326,(kwork,20,1795,0,1795
3462399,(kwork,20,1769,0,1769
3873773,(kwork,20,384,0,384
4033976,(kwork,20,945,0,945
4034222,(kwork,20,0,0,0
4076867,(code),20,121004,0,121004
4077394,(kwork,20,292,0,292
4082729,(code),20,740,0,740
4082745,(code),20,52522,0,52522
4083401,(code),20,3043,0,3043
4083407,(code),20,5242,0,5242
4085010,(java),20,15,0,15
4085124,(code),20,609,0,609
4188417,(code),20,833,0,833
