PID,Name,Priority,Arrival Time,Waiting Time,Response Time
2624870,(kio_h,20,0,565602,574982
2754402,(ssh-a,20,0,40532678,40532678
2772501,(kwork,20,0,105512,106274
2869855,(code),20,0,57514,57870
2869995,(code),20,0,63645,64042
2874336,(cppto,20,0,20518,20620
2893153,(konso,20,0,338670,342807
2893409,(bash),20,0,24406,24538
3016766,(bash),20,0,18510,18596
3045529,(cppto,20,0,9778,9816
3112454,(bash),20,0,68123,68556
3289124,(kwork,20,0,98930,99634
3289133,(kwork,20,0,144520,145656
3304648,(kwork,20,0,135961,137008
3448810,(brave,20,0,7465,7493
3450692,(kwork,20,0,39470,39698
3450700,(kwork,20,0,37628,37842
3450803,(kwork,20,0,40542478,40542478
3450936,(kwork,20,0,93554,94205
3452208,(kwork,20,0,40543129,40543129
3462326,(kwork,20,0,207459,209254
3462399,(kwork,20,0,205510,207279
3873773,(kwork,20,0,60715,61099
4033976,(kwork,20,0,124863,125808
4034222,(kwork,20,0,40548022,40548022
4076867,(code),20,0,2405142,2526146
4077394,(kwork,20,0,49789,50081
4082729,(code),20,0,102984,103724
4082745,(code),20,0,1386322,1438844
4083401,(code),20,0,283399,286442
4083407,(code),20,0,391606,396848
4085010,(java),20,0,5191,5206
4085124,(code),20,0,88181,88790
4188417,(code),20,0,113414,114247

Average Waiting Time: 2446059.92
Average Response Time: 2552689.04
